farmer_id,balance,last_topup,avg_monthly_spend,credit_score
1,24103,2025-02-01,8200,742
2,18200,2025-01-28,6100,701
3,32800,2025-02-03,9400,768
4,15400,2025-01-20,5600,688
5,41200,2025-02-05,11000,792
6,19800,2025-01-29,6400,715
7,53600,2025-02-07,12500,824
8,22100,2025-01-25,7200,734
9,36700,2025-02-02,9800,771
10,28900,2025-01-30,8600,756
11,17400,2025-01-22,5900,692
12,45800,2025-02-06,11800,801
13,30600,2025-01-31,9000,763
14,19300,2025-01-26,6500,721
15,42100,2025-02-04,11200,794
16,26700,2025-01-29,8300,749
17,34900,2025-02-01,9600,769
18,50800,2025-02-07,12100,815
19,21400,2025-01-27,7100,731
20,37600,2025-02-03,10200,776
21,18200,2025-01-21,6000,694
22,46300,2025-02-06,11900,806
23,29500,2025-01-30,8700,758
24,33400,2025-02-02,9400,767
25,19800,2025-01-24,6600,719
26,42100,2025-02-04,11300,798
27,35700,2025-02-01,9900,772
28,16900,2025-01-19,5500,681
29,48500,2025-02-06,12000,812
30,31200,2025-01-31,9100,761
31,20800,2025-01-25,7000,726
32,39400,2025-02-03,10500,781
33,27600,2025-01-29,8400,752
34,34100,2025-02-01,9500,769
35,45700,2025-02-05,11700,804
36,22100,2025-01-26,7300,735
37,38900,2025-02-03,10400,779
38,26500,2025-01-28,8200,748
39,41800,2025-02-04,11100,795
40,29600,2025-01-30,8800,759
41,18300,2025-01-22,6100,696
42,50900,2025-02-07,12300,818
43,33700,2025-02-01,9500,768
44,42100,2025-02-04,11200,799
45,25900,2025-01-28,8100,747
46,31200,2025-01-31,9000,762
47,48600,2025-02-06,12000,811
48,19800,2025-01-24,6700,720
49,36200,2025-02-02,9800,773
50,27400,2025-01-29,8300,751
51,33100,2025-02-02,9200,766
52,28600,2025-01-30,8400,754
53,45200,2025-02-05,11500,803
54,19800,2025-01-24,6700,718
55,37400,2025-02-03,10100,777
56,26300,2025-01-28,8100,746
57,54800,2025-02-07,12800,828
58,22100,2025-01-26,7300,734
59,51600,2025-02-06,12200,819
60,34200,2025-02-01,9600,769
61,28700,2025-01-29,8500,752
62,36500,2025-02-02,9900,774
63,19400,2025-01-23,6400,706
64,31900,2025-02-01,9100,763
65,27800,2025-01-28,8300,749
66,40200,2025-02-04,10800,787
67,35700,2025-02-02,9800,772
68,52300,2025-02-07,12400,821
69,48600,2025-02-06,11900,812
70,21500,2025-01-25,7000,729
71,29800,2025-01-31,8800,758
72,24100,2025-01-27,7600,739
73,25900,2025-01-28,8000,744
74,31200,2025-02-01,9000,762
75,28400,2025-01-29,8400,751
76,54700,2025-02-07,12700,827
77,36100,2025-02-02,10000,776
78,29300,2025-01-30,8700,757
79,26800,2025-01-28,8200,748
80,31400,2025-02-01,9100,763
81,22600,2025-01-26,7400,736
82,28900,2025-01-30,8600,755
83,36700,2025-02-02,10100,778
84,29800,2025-01-31,8800,759
85,51900,2025-02-06,12300,820
86,24300,2025-01-27,7600,740
87,32500,2025-02-01,9300,765
88,28100,2025-01-29,8400,750
89,53600,2025-02-07,12600,825
90,25700,2025-01-28,8000,743
91,29400,2025-01-30,8700,756
92,26800,2025-01-28,8200,747
93,34100,2025-02-01,9600,769
94,28900,2025-01-30,8600,755
95,27500,2025-01-29,8300,749
96,26100,2025-01-28,8100,745
97,30200,2025-01-31,8900,760
98,32800,2025-02-01,9400,767
99,29100,2025-01-30,8700,756
100,35400,2025-02-02,9900,775
101,31200,2025-02-01,9100,763
102,28900,2025-01-30,8600,755
103,34700,2025-02-02,9700,771
104,27400,2025-01-29,8300,749
105,42100,2025-02-04,11200,798
106,53800,2025-02-07,12700,827
107,29800,2025-01-31,8800,759
108,26100,2025-01-28,8100,745
109,33400,2025-02-01,9500,768
110,51600,2025-02-06,12200,819
111,48700,2025-02-05,11900,813
112,52900,2025-02-07,12500,823
113,28600,2025-01-30,8400,754
114,34100,2025-02-01,9600,769
115,52400,2025-02-06,12400,821
116,35800,2025-02-02,10000,776
117,27500,2025-01-29,8300,749
118,30200,2025-01-31,8900,760
119,31900,2025-02-01,9100,763
120,29400,2025-01-30,8700,756
121,33600,2025-02-01,9400,767
122,26800,2025-01-28,8200,747
123,28400,2025-01-29,8400,751
124,29700,2025-01-30,8800,758
125,27600,2025-01-28,8300,749
126,53200,2025-02-07,12600,824
127,30100,2025-01-31,8900,760
128,25900,2025-01-28,8000,743
129,28700,2025-01-29,8500,752
130,32400,2025-02-01,9300,765
131,27100,2025-01-28,8200,747
132,33800,2025-02-01,9500,768
133,54800,2025-02-07,12800,828
134,35200,2025-02-02,9900,774
135,29300,2025-01-30,8700,756
136,27800,2025-01-29,8300,749
137,26100,2025-01-28,8100,745
138,29900,2025-01-31,8900,760
139,28600,2025-01-29,8500,752
140,53100,2025-02-07,12500,823
141,31200,2025-02-01,9100,763
142,29500,2025-01-30,8800,758
143,28900,2025-01-30,8600,755
144,27600,2025-01-28,8300,749
145,53700,2025-02-07,12700,826
146,28100,2025-01-29,8400,750
147,29300,2025-01-30,8700,756
148,30200,2025-01-31,8900,760
149,32800,2025-02-01,9400,767
150,28400,2025-01-29,8400,751
151,31900,2025-02-01,9100,763
152,28700,2025-01-29,8500,752
153,30100,2025-01-31,8900,760
154,28900,2025-01-30,8600,755
155,31200,2025-02-01,9100,763
156,27400,2025-01-29,8300,749
157,33600,2025-02-01,9400,767
158,29500,2025-01-30,8800,758
159,52900,2025-02-07,12500,823
160,28100,2025-01-29,8400,750
161,29300,2025-01-30,8700,756
162,30400,2025-01-31,9000,761
163,31900,2025-02-01,9100,763
164,28600,2025-01-29,8500,752
165,53600,2025-02-07,12700,825
166,27400,2025-01-29,8300,749
167,28900,2025-01-30,8600,755
168,30100,2025-01-31,8900,760
169,32800,2025-02-01,9400,767
170,29300,2025-01-30,8700,756
171,51200,2025-02-06,12100,818
172,27600,2025-01-28,8300,749
173,28900,2025-01-30,8600,755
174,30400,2025-01-31,9000,761
175,33600,2025-02-01,9400,767
176,28100,2025-01-29,8400,750
177,52400,2025-02-06,12400,821
178,29300,2025-01-30,8700,756
179,30100,2025-01-31,8900,760
180,31900,2025-02-01,9100,763
181,28400,2025-01-29,8400,751
182,53600,2025-02-07,12700,825
183,29500,2025-01-30,8800,758
184,28900,2025-01-30,8600,755
185,27400,2025-01-29,8300,749
186,52900,2025-02-07,12500,823
187,28100,2025-01-29,8400,750
188,29300,2025-01-30,8700,756
189,30100,2025-01-31,8900,760
190,32800,2025-02-01,9400,767
