Date,Crop,Mandi,Modal_Price
2024-01-01,Onion,Pune,2782
2024-01-02,Onion,Pune,2800
2024-01-03,Onion,Pune,2789
2024-01-04,Onion,Pune,2800
2024-01-05,Onion,Pune,2822
2024-01-06,Onion,Pune,2818
2024-01-07,Onion,Pune,2828
2024-01-08,Onion,Pune,2832
2024-01-09,Onion,Pune,2852
2024-01-10,Onion,Pune,2874
2024-01-11,Onion,Pune,2864
2024-01-12,Onion,Pune,2870
2024-01-13,Onion,Pune,2863
2024-01-14,Onion,Pune,2846
2024-01-15,Onion,Pune,2854
2024-01-16,Onion,Pune,2872
2024-01-17,Onion,Pune,2894
2024-01-18,Onion,Pune,2899
2024-01-19,Onion,Pune,2879
2024-01-20,Onion,Pune,2896
2024-01-21,Onion,Pune,2921
2024-01-22,Onion,Pune,2903
2024-01-23,Onion,Pune,2911
2024-01-24,Onion,Pune,2932
2024-01-25,Onion,Pune,2930
2024-01-26,Onion,Pune,2914
2024-01-27,Onion,Pune,2899
2024-01-28,Onion,Pune,2900
2024-01-29,Onion,Pune,2885
2024-01-30,Onion,Pune,2866
2024-01-31,Onion,Pune,2881
2024-02-01,Onion,Pune,2905
2024-02-02,Onion,Pune,2890
2024-02-03,Onion,Pune,2881
2024-02-04,Onion,Pune,2889
2024-02-05,Onion,Pune,2880
2024-02-06,Onion,Pune,2875
2024-02-07,Onion,Pune,2866
2024-02-08,Onion,Pune,2891
2024-02-09,Onion,Pune,2913
2024-02-10,Onion,Pune,2925
2024-02-11,Onion,Pune,2925
2024-02-12,Onion,Pune,2910
2024-02-13,Onion,Pune,2930
2024-02-14,Onion,Pune,2914
2024-02-15,Onion,Pune,2929
2024-02-16,Onion,Pune,2950
2024-02-17,Onion,Pune,2953
2024-02-18,Onion,Pune,2968
2024-02-19,Onion,Pune,2966
2024-02-20,Onion,Pune,2964
2024-02-21,Onion,Pune,2983
2024-02-22,Onion,Pune,2978
2024-02-23,Onion,Pune,2959
2024-02-24,Onion,Pune,2974
2024-02-25,Onion,Pune,2991
2024-02-26,Onion,Pune,3005
2024-02-27,Onion,Pune,3015
2024-02-28,Onion,Pune,3032
2024-02-29,Onion,Pune,3025
2024-03-01,Onion,Pune,3046
2024-03-02,Onion,Pune,3063
2024-03-03,Onion,Pune,3046
2024-03-04,Onion,Pune,3046
2024-03-05,Onion,Pune,3063
2024-03-06,Onion,Pune,3048
2024-03-07,Onion,Pune,3043
2024-03-08,Onion,Pune,3052
2024-03-09,Onion,Pune,3072
2024-03-10,Onion,Pune,3089
2024-03-11,Onion,Pune,3098
2024-03-12,Onion,Pune,3102
2024-03-13,Onion,Pune,3127
2024-03-14,Onion,Pune,3128
2024-03-15,Onion,Pune,3139
2024-03-16,Onion,Pune,3154
2024-03-17,Onion,Pune,3170
2024-03-18,Onion,Pune,3171
2024-03-19,Onion,Pune,3158
2024-03-20,Onion,Pune,3175
2024-03-21,Onion,Pune,3156
2024-03-22,Onion,Pune,3177
2024-03-23,Onion,Pune,3187
2024-03-24,Onion,Pune,3190
2024-03-25,Onion,Pune,3171
2024-03-26,Onion,Pune,3169
2024-03-27,Onion,Pune,3163
2024-03-28,Onion,Pune,3148
2024-03-29,Onion,Pune,3160
2024-03-30,Onion,Pune,3146
2024-03-31,Onion,Pune,3171
2024-04-01,Onion,Pune,3174
2024-04-02,Onion,Pune,3183
2024-04-03,Onion,Pune,3182
2024-04-04,Onion,Pune,3203
2024-04-05,Onion,Pune,3219
2024-04-06,Onion,Pune,3229
2024-04-07,Onion,Pune,3251
2024-04-08,Onion,Pune,3246
2024-04-09,Onion,Pune,3265
2024-04-10,Onion,Pune,3264
2024-04-11,Onion,Pune,3259
2024-04-12,Onion,Pune,3254
2024-04-13,Onion,Pune,3268
2024-04-14,Onion,Pune,3251
2024-04-15,Onion,Pune,3244
2024-04-16,Onion,Pune,3229
2024-04-17,Onion,Pune,3225
2024-04-18,Onion,Pune,3217
2024-04-19,Onion,Pune,3231
2024-04-20,Onion,Pune,3233
2024-04-21,Onion,Pune,3221
2024-04-22,Onion,Pune,3225
2024-04-23,Onion,Pune,3238
2024-04-24,Onion,Pune,3237
2024-04-25,Onion,Pune,3235
2024-04-26,Onion,Pune,3242
2024-04-27,Onion,Pune,3260
2024-04-28,Onion,Pune,3285
2024-04-29,Onion,Pune,3280
2024-04-30,Onion,Pune,3270
2024-05-01,Onion,Pune,3284
2024-05-02,Onion,Pune,3278
2024-05-03,Onion,Pune,3303
2024-05-04,Onion,Pune,3311
2024-05-05,Onion,Pune,3295
2024-05-06,Onion,Pune,3294
2024-05-07,Onion,Pune,3297
2024-05-08,Onion,Pune,3302
2024-05-09,Onion,Pune,3307
2024-05-10,Onion,Pune,3327
2024-05-11,Onion,Pune,3310
2024-05-12,Onion,Pune,3329
2024-05-13,Onion,Pune,3313
2024-05-14,Onion,Pune,3309
2024-05-15,Onion,Pune,3320
2024-05-16,Onion,Pune,3305
2024-05-17,Onion,Pune,3287
2024-05-18,Onion,Pune,3292
2024-05-19,Onion,Pune,3313
2024-05-20,Onion,Pune,3338
2024-05-21,Onion,Pune,3335
2024-05-22,Onion,Pune,3329
2024-05-23,Onion,Pune,3349
2024-05-24,Onion,Pune,3361
2024-05-25,Onion,Pune,3370
2024-05-26,Onion,Pune,3383
2024-05-27,Onion,Pune,3385
2024-05-28,Onion,Pune,3383
