booking_id,farmer_id,route_id,vehicle_id,quantity_tons,total_cost,co2_emitted,date
1,12,5,3,4.0,13832.0,612.4,2024-10-01
2,45,7,5,7.5,21480.0,945.2,2024-10-02
3,78,1,8,2.0,8652.0,241.6,2024-10-02
4,103,11,4,3.5,12096.0,501.9,2024-10-03
5,66,3,6,10.0,26220.0,1048.5,2024-10-03
6,154,8,9,6.0,14520.0,402.0,2024-10-04
7,87,5,2,2.5,6410.0,311.3,2024-10-04
8,199,10,7,1.5,2793.0,105.0,2024-10-05
9,34,14,5,8.0,22528.0,991.4,2024-10-05
10,250,6,3,4.5,15147.0,673.2,2024-10-06
11,176,2,6,12.0,31488.0,1219.6,2024-10-06
12,92,13,4,3.0,10192.0,436.8,2024-10-07
13,118,15,5,9.5,26733.0,1140.1,2024-10-07
14,301,5,8,2.2,5984.0,173.4,2024-10-08
15,44,7,6,11.0,29238.0,1188.0,2024-10-08
16,209,9,3,5.0,17170.0,770.2,2024-10-09
17,67,4,5,8.5,23868.0,1016.4,2024-10-09
18,89,1,2,2.8,7320.0,354.2,2024-10-10
19,145,12,7,1.8,3379.0,118.1,2024-10-10
20,333,11,9,7.0,16940.0,476.7,2024-10-11
21,176,6,6,12.0,31440.0,1218.2,2024-10-11
22,56,5,4,3.8,12962.0,551.1,2024-10-12
23,198,14,8,4.0,8640.0,256.0,2024-10-12
24,222,7,5,7.0,20048.0,892.7,2024-10-13
25,315,3,6,14.0,36792.0,1430.4,2024-10-13
26,99,9,2,3.0,7866.0,380.4,2024-10-14
27,187,1,8,2.5,10815.0,301.2,2024-10-14
28,274,12,7,2.0,3758.0,132.0,2024-10-15
29,361,5,3,4.2,14516.0,643.8,2024-10-15
30,420,8,9,6.5,15650.0,438.1,2024-10-16
31,58,10,7,1.7,3162.0,118.9,2024-10-16
32,141,6,3,4.8,16136.0,721.9,2024-10-17
33,227,2,6,11.5,30195.0,1167.8,2024-10-17
34,74,13,4,3.2,10870.0,466.2,2024-10-18
35,186,15,5,9.0,25320.0,1079.0,2024-10-18
36,92,1,8,2.3,9954.0,276.7,2024-10-19
37,308,5,3,4.1,14172.0,628.5,2024-10-19
38,155,7,6,10.5,27820.0,1134.0,2024-10-20
39,61,4,5,8.0,22432.0,987.0,2024-10-20
40,204,9,2,3.3,8646.0,418.6,2024-10-21
41,129,12,7,1.9,3561.0,125.4,2024-10-21
42,275,11,9,7.5,18150.0,510.5,2024-10-22
43,48,6,3,4.6,15477.0,689.1,2024-10-22
44,167,3,6,13.0,34110.0,1329.9,2024-10-23
45,89,14,8,4.2,9072.0,268.8,2024-10-23
46,311,5,3,3.9,13494.0,597.6,2024-10-24
47,215,7,5,7.2,20630.0,912.6,2024-10-24
48,73,1,2,2.6,6800.0,329.8,2024-10-25
49,350,10,7,1.6,2970.0,110.2,2024-10-25
50,192,6,3,4.7,15806.0,703.4,2024-10-26
51,84,2,6,12.2,31956.0,1238.7,2024-10-26
52,146,13,4,3.1,10542.0,452.0,2024-10-27
53,271,15,5,9.8,27603.0,1175.8,2024-10-27
54,90,1,8,2.4,10368.0,288.0,2024-10-28
55,319,5,3,4.3,14860.0,659.4,2024-10-28
56,162,7,6,10.8,28656.0,1166.4,2024-10-29
57,51,4,5,8.2,22992.0,1006.4,2024-10-29
58,289,9,2,3.4,8910.0,431.6,2024-10-30
59,137,12,7,2.1,3948.0,138.6,2024-10-30
60,402,11,9,7.8,18876.0,530.4,2024-10-31
61,64,6,3,4.9,16464.0,734.5,2024-10-31
62,188,3,6,13.5,35478.0,1384.5,2024-11-01
63,96,14,8,4.4,9504.0,281.6,2024-11-01
64,345,5,3,4.0,13832.0,612.4,2024-11-02
65,221,7,5,7.4,21124.0,933.6,2024-11-02
66,71,1,2,2.9,7580.0,367.0,2024-11-03
67,390,10,7,1.8,3339.0,123.9,2024-11-03
68,184,6,3,4.8,16136.0,721.9,2024-11-04
69,98,2,6,11.8,30936.0,1200.6,2024-11-04
70,153,13,4,3.4,11598.0,497.8,2024-11-05
71,265,15,5,9.3,26202.0,1114.3,2024-11-05
72,101,1,8,2.1,9072.0,252.0,2024-11-06
73,333,5,3,4.5,15561.0,690.3,2024-11-06
74,178,7,6,11.2,29664.0,1209.6,2024-11-07
75,82,4,5,8.7,24372.0,1036.8,2024-11-07
76,299,9,2,3.6,9420.0,456.0,2024-11-08
77,146,12,7,2.0,3758.0,132.0,2024-11-08
78,417,11,9,7.2,17424.0,489.6,2024-11-09
79,59,6,3,4.4,14796.0,660.6,2024-11-09
80,191,3,6,12.7,33324.0,1298.1,2024-11-10
81,109,14,8,4.1,8856.0,262.4,2024-11-10
82,357,5,3,3.7,12778.0,565.2,2024-11-11
83,206,7,5,6.9,19736.0,874.2,2024-11-11
